user	instance_id	displayed_text	changes-key-entity:::no	changes-key-entity:::yes	Level-of-generality:::no	Level-of-generality:::yes	how-certain-is-the-reported-finding:::Certain	how-certain-is-the-reported-finding:::Uncertain	how-certain-is-the-reported-finding:::Can't say	how-certain-is-the-reported-finding:::Somewhat certain	how-certain-is-the-reported-finding:::Somewhat uncertain	how-certain-is-the-paper-finding:::Somewhat uncertain	how-certain-is-the-paper-finding:::Certain	how-certain-is-the-paper-finding:::Uncertain	how-certain-is-the-paper-finding:::Can't say	how-certain-is-the-paper-finding:::Somewhat certain	reporting-is-sensational:::Mostly neutral, slightly sensational	reporting-is-sensational:::Neutral	reporting-is-sensational:::Sensational	paper-is-sensational:::Mostly neutral, slightly sensational	paper-is-sensational:::Neutral	paper-is-sensational:::Sensational	how-causal-is-the-reporting:::Correlation	how-causal-is-the-reporting:::Causation	how-causal-is-the-reporting:::No relation is stated	how-causal-is-the-paper-finding:::Correlation	how-causal-is-the-paper-finding:::Causation	how-causal-is-the-paper-finding:::No relation is stated	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	How satisfied do you feel about your experience participating in our study?:::Satisfied	How satisfied do you feel about your experience participating in our study?:::Not satisfied	How satisfied do you feel about your experience participating in our study?:::Very satisfied	How do you feel about your experience participating in our study compared with other studies?:::Better than others	How do you feel about your experience participating in our study compared with other studies?:::Much better than others	How do you feel about your experience participating in our study compared with other studies?:::Worse than others	How do you feel about your experience participating in our study compared with other studies?:::Similar	Please feel free to leave any comments about our study (optional):::text_box	span_annotation:::Correlation	span_annotation:::Causation	span_annotation:::Words indicating certainty	span_annotation:::Words indicating uncertainty	span_annotation:::Generalization	span_annotation:::Missing element from the reported finding.	span_annotation:::Sensational language	span_annotation:::Generalization</div>	span_annotation:::Added element in reported finding.
610485a4b72881131d111afd	Medicine_228	<b>Reported finding:</b> In other words, it isn't testosterone levels that predict muscle gains, but how sensitive your muscles are to that testosterone.<br><b>Paper finding:</b> Acute hormonal responses were correlated with gains in lean body mass (LBM), muscle fibre cross-sectional area (CSA) and leg press strength.		1	2		5									4		1			1		2				3													[]	[{'start': 103, 'end': 123, 'span': 'predict muscle gains', 'annotation': 'Causation'}]	"[{'start': 72, 'end': 97, 'span': ""isn't testosterone levels"", 'annotation': 'Words indicating certainty'}]"	"[{'start': 207, 'end': 370, 'span': 'Acute hormonal responses were <span class=""span_container"" selection_label=""Words indicating uncertainty"" style=""background-color:rgb(0,158,115, 0.25);"">correlated', 'annotation': 'Words indicating uncertainty'}]"	[]	[{'start': 504, 'end': 598, 'span': 'gains in lean body mass (LBM), muscle fibre cross-sectional area (CSA) and leg press strength.', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 128, 'end': 181, 'span': ' how sensitive your muscles are to that testosterone.', 'annotation': 'Added element in reported finding.'}]
610485a4b72881131d111afd	Medicine_503	"<b>Reported finding:</b> advertisement

The third site, with a lower binding affinity, allows the calcium ions to move into the cell.<br><b>Paper finding:</b> This pore architecture suggests a conduction pathway involving transitions between two main states with one or two hydrated Ca 21 ions bound in the selectivity filter and supports a 'knock-off' mechanism of ion permeation through a stepwisebinding process."		1		1	5									4		1			1				1			1												[]	[]	[{'start': 117, 'end': 124, 'span': 'allows ', 'annotation': 'Words indicating certainty'}]	[{'start': 212, 'end': 221, 'span': 'suggests ', 'annotation': 'Words indicating uncertainty'}]	[{'start': 124, 'end': 162, 'span': 'the calcium ions to move into the cell', 'annotation': 'Generalization'}]	"[{'start': 252, 'end': 287, 'span': 'transitions between two main states', 'annotation': 'Missing element from the reported finding.'}, {'start': 371, 'end': 410, 'span': ""'knock-off' mechanism of ion permeation"", 'annotation': 'Missing element from the reported finding.'}]"	[]	[]	[{'start': 93, 'end': 115, 'span': 'lower binding affinity', 'annotation': 'Added element in reported finding.'}]
610485a4b72881131d111afd	Experience.html	Experience																														How satisfied do you feel about your experience participating in our study?:::Satisfied						How do you feel about your experience participating in our study compared with other studies?:::Similar		[]	[]	[]	[]	[]	[]	[]	[]	[]
610485a4b72881131d111afd	Medicine_353	<b>Reported finding:</b> According to the team, this demonstrates that the first and fifth digits were not simply lost to evolution, but attached to their neighboring second and fourth digits.<br><b>Paper finding:</b> Our proposed locations of the proximal metacarpals are confirmed by their carpal articulations, which are consistent with those of the pentadactyl Phenacodus.		1	2		5						5					1			1				1			1												[]	[]	[{'start': 76, 'end': 92, 'span': 'this demonstrate', 'annotation': 'Words indicating certainty'}, {'start': 301, 'end': 310, 'span': 'confirmed', 'annotation': 'Words indicating certainty'}]	[]	[]	[]	[]	[]	[{'start': 131, 'end': 220, 'span': 'not simply lost to evolution, but attached to their neighboring second and fourth digits.', 'annotation': 'Added element in reported finding.'}]
610485a4b72881131d111afd	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
610485a4b72881131d111afd	Medicine_461	<b>Reported finding:</b> If the program is successful, these rates should fall over time, indicating that mammography screening is contributing effectively to reducing breast cancer mortality.<br><b>Paper finding:</b> Our re-calculations of Swedish trial revealed that risks of breast cancer death were similar for cancers found during the intervention and the post-intervention periods, indicating that reductions in the risk of breast cancer death also applied to cancer cases diagnosed when screening (or absence of screening) was the same in both screening and control groups.		1	2					4						4		1			1				1			1												[]	[]	[]	[{'start': 53, 'end': 55, 'span': 'If', 'annotation': 'Words indicating uncertainty'}, {'start': 118, 'end': 129, 'span': 'indicating ', 'annotation': 'Words indicating uncertainty'}, {'start': 416, 'end': 427, 'span': 'indicating ', 'annotation': 'Words indicating uncertainty'}]	[]	[{'start': 296, 'end': 414, 'span': ' risks of breast cancer death were similar for cancers found during the intervention and the post-intervention periods', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 134, 'end': 219, 'span': 'mammography screening is contributing effectively to reducing breast cancer mortality', 'annotation': 'Added element in reported finding.'}]
6168174598124da7e933f76d	Medicine_tweet_130	<b>Reported finding:</b> Prisoners in 10-week #yoga course experienced improved behavioural control &amp; decreased psychological distress: <br><b>Paper finding:</b> Participation in the yoga course significantly influenced positive affect as measured by the PANAS, F(1,86) ¼ 5.26, p ¼ 0.024.		1	2					4			5				2					3	2			2														[]	[]	"[{'start': 66, 'end': 98, 'span': '10-week #yoga course experienced', 'annotation': 'Words indicating certainty'}, {'start': 268, 'end': 401, 'span': 'as<span class=""span_container"" selection_label=""Words indicating certainty"" style=""background-color:rgb(240,228,66, 0.25);""> measured', 'annotation': 'Words indicating certainty'}]"	[]	[]	[{'start': 227, 'end': 267, 'span': 'significantly influenced positive affect', 'annotation': 'Missing element from the reported finding.'}, {'start': 537, 'end': 543, 'span': 'PANAS,', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 53, 'end': 62, 'span': 'Prisoners', 'annotation': 'Added element in reported finding.'}, {'start': 99, 'end': 167, 'span': 'improved behavioural control &amp; decreased psychological distress:', 'annotation': 'Added element in reported finding.'}]
6168174598124da7e933f76d	Experience.html	Experience																															How satisfied do you feel about your experience participating in our study?:::Not satisfied				How do you feel about your experience participating in our study compared with other studies?:::Worse than others		The study was harder to understand compared to other studies	[]	[]	[]	[]	[]	[]	[]	[]	[]
6168174598124da7e933f76d	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
6168174598124da7e933f76d	Medicine_tweet_2	"<b>Reported finding:</b> Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia.<br><b>Paper finding:</b> In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia."		1	2						2					4		1				3		3			3													[]	[{'start': 266, 'end': 276, 'span': 'associated', 'annotation': 'Causation'}, {'start': 438, 'end': 448, 'span': 'associated', 'annotation': 'Causation'}]	[]	[]	[]	[{'start': 205, 'end': 213, 'span': 'suggests', 'annotation': 'Missing element from the reported finding.'}, {'start': 343, 'end': 377, 'span': 'long-term prospective cohort study', 'annotation': 'Missing element from the reported finding.'}]	[{'start': 424, 'end': 437, 'span': 'significantly', 'annotation': 'Sensational language'}, {'start': 454, 'end': 464, 'span': 'subsequent', 'annotation': 'Sensational language'}]	[]	[{'start': 53, 'end': 108, 'span': 'Is Diet Quality Associated With Later Risk for Dementia', 'annotation': 'Added element in reported finding.'}, {'start': 131, 'end': 148, 'span': 'usual limitations', 'annotation': 'Added element in reported finding.'}]
6168174598124da7e933f76d	Medicine_tweet_161	"<b>Reported finding:</b> How mothers of kids w #obesity limit their intake of junk food.
Proud of this work with @username @username . @username <br><b>Paper finding:</b> The finding that mothers of children with obesity used more direct imperatives to restrict eating may have important implications for practice guidelines and future research."		1	2					4						4	2					3			1			1												[]	[]	[]	[{'start': 298, 'end': 301, 'span': 'may', 'annotation': 'Words indicating uncertainty'}]	[]	[]	[{'start': 267, 'end': 278, 'span': 'imperatives', 'annotation': 'Sensational language'}, {'start': 316, 'end': 330, 'span': ' implications ', 'annotation': 'Sensational language'}, {'start': 334, 'end': 354, 'span': 'practice guidelines ', 'annotation': 'Sensational language'}, {'start': 357, 'end': 374, 'span': ' future research.', 'annotation': 'Sensational language'}]	[]	[{'start': 84, 'end': 116, 'span': 'limit their intake of junk food.', 'annotation': 'Added element in reported finding.'}]
6168174598124da7e933f76d	Medicine_tweet_120	"<b>Reported finding:</b> In @username  

Bottom line of this latest analysis calculates out as follows: For every 265 folks taking #aspirin for median 5 years, 1 #heartattack, #stroke or death is likely prevented &amp; for every 210 folks on aspirin, 1 serious bleeding event occurs<br><b>Paper finding:</b> In this meta-analysis, the use of aspirin in individuals without cardiovascular disease was associated with a lower risk of cardiovascular events and an increased risk of major bleeding."		1	2						2		5					1				3	2			2														[{'start': 495, 'end': 504, 'span': 'prevented', 'annotation': 'Correlation'}, {'start': 889, 'end': 903, 'span': 'use of aspirin', 'annotation': 'Correlation'}, {'start': 919, 'end': 927, 'span': 'without ', 'annotation': 'Correlation'}, {'start': 972, 'end': 983, 'span': 'lower risk ', 'annotation': 'Correlation'}]	[]	[{'start': 954, 'end': 964, 'span': 'associated', 'annotation': 'Words indicating certainty'}, {'start': 986, 'end': 1007, 'span': 'cardiovascular events', 'annotation': 'Words indicating certainty'}, {'start': 1015, 'end': 1029, 'span': 'increased risk', 'annotation': 'Words indicating certainty'}]	[{'start': 487, 'end': 494, 'span': ' likely', 'annotation': 'Words indicating uncertainty'}]	[]	[{'start': 870, 'end': 883, 'span': 'meta-analysis', 'annotation': 'Missing element from the reported finding.'}]	[{'start': 927, 'end': 950, 'span': 'cardiovascular disease ', 'annotation': 'Sensational language'}]	[]	"[{'start': 134, 'end': 284, 'span': 'For<span class=""span_container"" selection_label=""Added element in reported finding."" style=""background-color:rgb(204,121,167, 0.25);""> every 265 folks', 'annotation': 'Added element in reported finding.'}, {'start': 424, 'end': 450, 'span': 'aspirin for median 5 years', 'annotation': 'Added element in reported finding.'}, {'start': 505, 'end': 661, 'span': '&amp; <span class=""span_container"" selection_label=""Added element in reported finding."" style=""background-color:rgb(204,121,167, 0.25);"">for every 210 folks', 'annotation': 'Added element in reported finding.'}, {'start': 805, 'end': 836, 'span': '1 serious bleeding event occurs', 'annotation': 'Added element in reported finding.'}]"
60cb3a3e82065e2f9dcdd8e7	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
60dd619e24eb76732ae7934b	Medicine_tweet_20	"<b>Reported finding:</b> PMDD (síndrome pre-menstrual) was strongly and independently associated with non-fatal suicidal behaviors 
<br><b>Paper finding:</b> These findings suggest that clinicians treating women with PMDD should assess and be vigilant for signs of suicidal behavior, and that clinicians might evaluate and treat the premenstrual symptoms of women who express suicidal ideation, plans, or attempts."		1		1			3				5					1				3			1	2														[]	[{'start': 246, 'end': 250, 'span': 'PMDD', 'annotation': 'Causation'}]	[{'start': 375, 'end': 383, 'span': 'symptoms', 'annotation': 'Words indicating certainty'}]	[]	[{'start': 140, 'end': 158, 'span': 'suicidal behaviors', 'annotation': 'Generalization'}]	[{'start': 294, 'end': 303, 'span': 'suicidal ', 'annotation': 'Missing element from the reported finding.'}, {'start': 303, 'end': 311, 'span': 'behavior', 'annotation': 'Missing element from the reported finding.'}, {'start': 322, 'end': 333, 'span': 'clinicians ', 'annotation': 'Missing element from the reported finding.'}]	[{'start': 416, 'end': 422, 'span': 'women ', 'annotation': 'Sensational language'}]	[]	[{'start': 424, 'end': 429, 'span': 'plans', 'annotation': 'Added element in reported finding.'}, {'start': 434, 'end': 442, 'span': 'attempts', 'annotation': 'Added element in reported finding.'}]
60dd619e24eb76732ae7934b	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
601ae17733bf993ce4b27ecf	Medicine_80	"<b>Reported finding:</b> ""We observed delayed onset of motor neuron dysfunction; we noted also that SMN2 mis-splicing increases during the late stages of SMA, likely accelerating its progression in the body.<br><b>Paper finding:</b> SMN2 mis-splicing increased during late-stage disease."		1	2					4			5					1			1			3			3													[]	[{'start': 146, 'end': 162, 'span': 'increases during', 'annotation': 'Causation'}, {'start': 279, 'end': 296, 'span': 'increased during ', 'annotation': 'Causation'}]	[]	[{'start': 186, 'end': 194, 'span': ' likely ', 'annotation': 'Words indicating uncertainty'}]	[]	[]	[]	[]	[{'start': 54, 'end': 107, 'span': 'We observed delayed onset of motor neuron dysfunction', 'annotation': 'Added element in reported finding.'}, {'start': 182, 'end': 185, 'span': 'SMA', 'annotation': 'Added element in reported finding.'}]
601ae17733bf993ce4b27ecf	Medicine_tweet_19	"<b>Reported finding:</b> Study: ""Vitamin D supplementation during pregnancy is associated with a reduced risk of SGA and improved infant growth without risk of fetal or neonatal mortality or congenital abnormality."" <br><b>Paper finding:</b> Vitamin D supplementation with doses of 2000 IU/d or lower during pregnancy may reduce the risk of fetal or neonatal mortality."		1		1				4						4		1			1		2				3													[{'start': 104, 'end': 117, 'span': 'is associated', 'annotation': 'Correlation'}]	[{'start': 350, 'end': 366, 'span': 'reduce the risk ', 'annotation': 'Causation'}]	[]	[{'start': 345, 'end': 349, 'span': ' may', 'annotation': 'Words indicating uncertainty'}]	[{'start': 61, 'end': 86, 'span': 'Vitamin D supplementation', 'annotation': 'Generalization'}]	[{'start': 310, 'end': 328, 'span': '2000 IU/d or lower', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 125, 'end': 171, 'span': 'reduced risk of SGA and improved infant growth', 'annotation': 'Added element in reported finding.'}, {'start': 219, 'end': 241, 'span': 'congenital abnormality', 'annotation': 'Added element in reported finding.'}]
601ae17733bf993ce4b27ecf	Experience.html	Experience																														How satisfied do you feel about your experience participating in our study?:::Satisfied					How do you feel about your experience participating in our study compared with other studies?:::Worse than others		it's hard to navigate and highlight in longer text.	[]	[]	[]	[]	[]	[]	[]	[]	[]
601ae17733bf993ce4b27ecf	Medicine_tweet_20	"<b>Reported finding:</b> PMDD (síndrome pre-menstrual) was strongly and independently associated with non-fatal suicidal behaviors 
<br><b>Paper finding:</b> These findings suggest that clinicians treating women with PMDD should assess and be vigilant for signs of suicidal behavior, and that clinicians might evaluate and treat the premenstrual symptoms of women who express suicidal ideation, plans, or attempts."	2		2		5									4		1			1		2					1												[]	[]	[{'start': 111, 'end': 180, 'span': 'was strongly and independentwas strongly and independently associated', 'annotation': 'Words indicating certainty'}]	[{'start': 275, 'end': 304, 'span': 'should assess and be vigilant', 'annotation': 'Words indicating uncertainty'}, {'start': 357, 'end': 381, 'span': 'might evaluate and treat', 'annotation': 'Words indicating uncertainty'}]	[]	[]	[]	[]	[]
601ae17733bf993ce4b27ecf	Medicine_240	"<b>Reported finding:</b> Other recommendations from the CPG include:

* Because women with PCOS face an increased risk of pregnancy complications such as gestational diabetes, preterm delivery and preeclampsia that can be exacerbated by obesity, women should have their body mass index, blood pressure and oral glucose tolerance assessed prior to conceiving;

* Following diagnosis, women with PCOS should be examined for skin and hair complications including excess hair growth and acne;

* Although women with PCOS have some of the same risk factors associated with the development of endometrial cancer, they should not routinely undergo ultrasound screening for endometrial thickness;

* To gauge metabolic risk, adolescents and adult women with PCOS should be screened for increased obesity using body mass index and waist circumference measurements;

* Clinicians should give adolescents and adult women with PCOS an oral glucose tolerance test to check for type 2 diabetes or impaired glucose tolerance because they are at increased risk of these conditions; and

* Initial treatment of type 2 diabetes or impaired glucose tolerance in women with PCOS should be diet and exercise, with metformin as a second-line therapy.<br><b>Paper finding:</b> In addition, the nocturnal drop in mean arterial blood pressure is lower, a finding that has also been demonstrated in obese adolescents with PCOS ."		1		1				4			5					1			1			3				1												[]	[]	[]	[]	[]	[{'start': 1311, 'end': 1442, 'span': 'nocturnal drop in mean arterial blood pressure is lower, a finding that has also been demonstrated in obese adolescents with PCOS .', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 53, 'end': 98, 'span': 'Other recommendations from the CPG include:\r\n', 'annotation': 'Added element in reported finding.'}, {'start': 102, 'end': 1268, 'span': 'Because women with PCOS face an increased risk of pregnancy complications such as gestational diabetes, preterm delivery and preeclampsia that can be exacerbated by obesity, women should have their body mass index, blood pressure and oral glucose tolerance assessed prior to conceiving;\r\n\r\n* Following diagnosis, women with PCOS should be examined for skin and hair complications including excess hair growth and acne;\r\n\r\n* Although women with PCOS have some of the same risk factors associated with the development of endometrial cancer, they should not routinely undergo ultrasound screening for endometrial thickness;\r\n\r\n* To gauge metabolic risk, adolescents and adult women with PCOS should be screened for increased obesity using body mass index and waist circumference measurements;\r\n\r\n* Clinicians should give adolescents and adult women with PCOS an oral glucose tolerance test to check for type 2 diabetes or impaired glucose tolerance because they are at increased risk of these conditions; and\r\n\r\n* Initial treatment of type 2 diabetes or impaired glucose tolerance in women with PCOS should be diet and exercise, with metformin as a second-line therapy.', 'annotation': 'Added element in reported finding.'}]
601ae17733bf993ce4b27ecf	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
612088c6aac9e0d358ce634c	Medicine_434	"<b>Reported finding:</b> ""We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking,"" said Sjolund.<br><b>Paper finding:</b> They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ."		1	2		5						5					1			1		2			2														[]	[]	[{'start': 138, 'end': 146, 'span': 'We found', 'annotation': 'Words indicating certainty'}, {'start': 352, 'end': 362, 'span': 'They found', 'annotation': 'Words indicating certainty'}]	[]	[{'start': 152, 'end': 177, 'span': 'lower results on IQ tests', 'annotation': 'Generalization'}, {'start': 204, 'end': 255, 'span': 'are associated with a higher consumption of alcohol', 'annotation': 'Generalization'}]	[{'start': 365, 'end': 435, 'span': 'J-shaped association between frequency of drinking and IQ test results', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 180, 'end': 203, 'span': ' Swedish adolescent men', 'annotation': 'Added element in reported finding.'}, {'start': 257, 'end': 314, 'span': 'measured in both terms of total intake and binge drinking', 'annotation': 'Added element in reported finding.'}]
612088c6aac9e0d358ce634c	Medicine_16	<b>Reported finding:</b> After removing the bark from one of the trees, he found evidence that at least three generations of emerald ash borer larvae had used the tree, and he saw several live larvae that were actively feeding.<br><b>Paper finding:</b> Removal of bark from one of these trees yielded evidence of three generations of usage by emerald ash borer, a dead adult, and live emerald ash borer larvae.		1		1	5						5				2				1				1			1												[]	[]	[]	[]	[]	[]	[]	[]	[]
612088c6aac9e0d358ce634c	Experience.html	Experience																															How satisfied do you feel about your experience participating in our study?:::Not satisfied				How do you feel about your experience participating in our study compared with other studies?:::Worse than others		"The tool was cumbersome at best. I couldn't add two different highlights to the same selection of words, and removing a highlight that was too small (e.g., the word ""in"") was impossible. Also, double clicking a word with the tool on automatically highlighted the whole word. Moving back worked, but the text extracts became all messed up if already highlighted..."	[]	[]	[]	[]	[]	[]	[]	[]	[]
612088c6aac9e0d358ce634c	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
612088c6aac9e0d358ce634c	Medicine_tweet_79	<b>Reported finding:</b> Tobacco control responsible for 30% of the increase in life expectancy in US in past 50 years. <br><b>Paper finding:</b> In women, life expectancy at age 40 years increased 5.4 years (from 37.4 to 42.7 years), but without tobacco control, it would have been projected to increase by only 3.8 years (from 37.3 to 41.2 years).		1		1	5									4			3		1			3		2														[]	[]	"[{'start': 80, 'end': 350, 'span': ' <span class=""span_container"" selection_label=""Sensational language"" style=""background-color:rgb(86,180,233, 0.25);"">Tobacco control <span class=""span_container"" selection_label=""Words indicating certainty"" style=""background-color:rgb(240,228,66, 0.25);"">responsible for', 'annotation': 'Words indicating certainty'}]"	[]	[]	[{'start': 777, 'end': 792, 'span': 'at age 40 years', 'annotation': 'Missing element from the reported finding.'}]	[]	[{'start': 751, 'end': 759, 'span': 'In women', 'annotation': 'Generalization</div>'}]	"[{'start': 377, 'end': 686, 'span': ' but without tobacco control, <span class=""span_container"" selection_label=""Words indicating uncertainty"" style=""background-color:rgb(0,158,115, 0.25);"">it woul<span class=""span_container"" selection_label=""Added element in reported finding."" style=""background-color:rgb(204,121,167,0.25);"">US in past 50 years', 'annotation': 'Added element in reported finding.'}]"
612088c6aac9e0d358ce634c	Medicine_98	"<b>Reported finding:</b> CONCLUSIONS:

Our findings raise the prospect that the tissues harvested from equine ligaments up to 72 hours of post-mortem represent an available reservoir of specific stem cells.<br><b>Paper finding:</b> The present work is the first, in both animal and human, to show that tissues harvested from cadaveric ligaments up to 72 hours postmortem represent an available reservoir of specific stem cell populations."		1		1				4						4	2				1			3			3													[]	[{'start': 353, 'end': 379, 'span': 'the tissues harvested from', 'annotation': 'Causation'}]	"[{'start': 682, 'end': 843, 'span': 'up to 72 hours of post-mortem <span class=""span_container"" selection_label=""Words indicating certainty"" style=""background-color:rgb(240,228,66, 0.25);"">represent', 'annotation': 'Words indicating certainty'}, {'start': 1108, 'end': 1313, 'span': 'that tissues harvested from cadaveric ligaments up to 72 hours postmortem <span class=""span_container"" selection_label=""Words indicating certainty"" style=""background-color:rgb(240,228,66, 0.25);"">represent', 'annotation': 'Words indicating certainty'}]"	[{'start': 329, 'end': 348, 'span': 'raise the prospect ', 'annotation': 'Words indicating uncertainty'}]	"[{'start': 52, 'end': 172, 'span': ' <span class=""span_container"" selection_label=""Generalization"" style=""background-color:rgb(213,94,0, 0.25);"">CONCLUSIONS', 'annotation': 'Generalization'}]"	[{'start': 1043, 'end': 1071, 'span': 'The present work is the firs', 'annotation': 'Missing element from the reported finding.'}, {'start': 1071, 'end': 1072, 'span': 't', 'annotation': 'Missing element from the reported finding.'}, {'start': 1074, 'end': 1098, 'span': 'in both animal and human', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	"[{'start': 380, 'end': 515, 'span': 'e<span class=""span_container"" selection_label=""Added element in reported finding."" style=""background-color:rgb(204,121,167, 0.25);"">qui', 'annotation': 'Added element in reported finding.'}]"
6460d1e375104a39ffb9d8a8	Medicine_434	"<b>Reported finding:</b> ""We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking,"" said Sjolund.<br><b>Paper finding:</b> They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ."	2		2					4						4		1			1		2			2														[{'start': 120, 'end': 134, 'span': 'are associated', 'annotation': 'Correlation'}, {'start': 294, 'end': 305, 'span': 'association', 'annotation': 'Correlation'}]	[]	[{'start': 54, 'end': 62, 'span': 'We found', 'annotation': 'Words indicating certainty'}, {'start': 272, 'end': 282, 'span': 'They found', 'annotation': 'Words indicating certainty'}]	[]	[]	[]	[]	[]	[{'start': 357, 'end': 399, 'span': 'where the daily drinkers had the lowest IQ', 'annotation': 'Added element in reported finding.'}]
6460d1e375104a39ffb9d8a8	Medicine_16	<b>Reported finding:</b> After removing the bark from one of the trees, he found evidence that at least three generations of emerald ash borer larvae had used the tree, and he saw several live larvae that were actively feeding.<br><b>Paper finding:</b> Removal of bark from one of these trees yielded evidence of three generations of usage by emerald ash borer, a dead adult, and live emerald ash borer larvae.	2		2		5						5					1			1				1			1												[]	[]	[]	[{'start': 100, 'end': 117, 'span': 'he found evidence', 'annotation': 'Words indicating uncertainty'}, {'start': 321, 'end': 337, 'span': 'yielded evidence', 'annotation': 'Words indicating uncertainty'}]	[]	[{'start': 390, 'end': 402, 'span': 'a dead adult', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 201, 'end': 254, 'span': 'he saw several live larvae that were actively feeding', 'annotation': 'Added element in reported finding.'}]
6460d1e375104a39ffb9d8a8	Experience.html	Experience																														How satisfied do you feel about your experience participating in our study?:::Satisfied			How do you feel about your experience participating in our study compared with other studies?:::Better than others					[]	[]	[]	[]	[]	[]	[]	[]	[]
6460d1e375104a39ffb9d8a8	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
6460d1e375104a39ffb9d8a8	Medicine_tweet_79	<b>Reported finding:</b> Tobacco control responsible for 30% of the increase in life expectancy in US in past 50 years. <br><b>Paper finding:</b> In women, life expectancy at age 40 years increased 5.4 years (from 37.4 to 42.7 years), but without tobacco control, it would have been projected to increase by only 3.8 years (from 37.3 to 41.2 years).		1		1	5									4	2					3		3				1												[]	[]	[{'start': 216, 'end': 261, 'span': 'increased 5.4 years (from 37.4 to 42.7 years)', 'annotation': 'Words indicating certainty'}, {'start': 292, 'end': 350, 'span': 'it would have been projected to increase by only 3.8 years', 'annotation': 'Words indicating certainty'}]	[]	[]	[{'start': 174, 'end': 182, 'span': 'In women', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 53, 'end': 123, 'span': 'Tobacco control responsible for 30% of the increase in life expectancy', 'annotation': 'Added element in reported finding.'}]
6460d1e375104a39ffb9d8a8	Medicine_98	"<b>Reported finding:</b> CONCLUSIONS:

Our findings raise the prospect that the tissues harvested from equine ligaments up to 72 hours of post-mortem represent an available reservoir of specific stem cells.<br><b>Paper finding:</b> The present work is the first, in both animal and human, to show that tissues harvested from cadaveric ligaments up to 72 hours postmortem represent an available reservoir of specific stem cell populations."	2		2						2					4		1			1				1			1												[]	[]	[{'start': 262, 'end': 281, 'span': 'The present work is', 'annotation': 'Words indicating certainty'}]	[{'start': 69, 'end': 100, 'span': 'Our findings raise the prospect', 'annotation': 'Words indicating uncertainty'}]	[]	[{'start': 282, 'end': 317, 'span': 'the first, in both animal and human', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 133, 'end': 139, 'span': 'equine', 'annotation': 'Added element in reported finding.'}]
